rooms;bedrooms;bathrooms;surface_total;surface_covered;price;property_type
2;1;1;46;45;130000;
2;1;1;49;47;120000;Departamento
2;1;1;38;38;69000;Departamento
2;1;1;38;38;69000;Departamento
2;2;1;57;57;148000;Departamento
3;2;1;53;53;165000;PH
3;2;1;120;100;99000;PH
3;2;2;162;102;119500;PH
3;2;1;305;148;195000;PH
3;2;1;119;83;89000;PH
3;2;2;100;77;128000;PH
3;2;2;124;124;220000;PH
3;2;1;101;64;249900;PH
3;3;2;88;88;199000;PH
3;2;1;108;80;119900;PH
3;2;1;70;53;98000;PH
3;2;1;246;62;85000;PH
3;2;2;130;100;220000;PH
3;2;2;165;95;189000;PH
3;2;2;55;55;167500;PH
3;2;2;132;70;220000;PH
3;2;1;600;100;145000;Casa
3;2;1;400;93;146000;Casa
3;2;1;33;187;115000;Casa
3;2;1;420;41;175000;Casa
3;2;2;159;179;197000;Casa
3;2;1;300;75;92000;Casa
3;2;1;95;95;195000;Casa
3;2;1;300;85;110000;Casa
3;2;1;210;100;172000;Casa
3;2;1;257;70;145000;Casa
3;2;1;227;102;115000;Casa
3;2;1;217;145;172000;Casa
